,10,11,12,13,14,15,16,17,20,21,22,23,24,25,26,30,31,32,40,50
,Boschi di larice e cembro,Boschi di abete rosso,Boschi di abete bianco,Pinete di pino silvestre e montano,"Pinete di pino nero, laricio e loricato",Pinete di pini mediterranei,"Altri boschi di conifere, pure o miste",Piantagioni di conifere,Faggete,"Querceti di rovere, roverella e farnia","Cerrete, boschi di farnetto, fragno e vallonea",Castagneti,"Ostrieti, carpineti",Boschi igrofili,Altri boschi caducifogli,Leccete,Sugherete,Altri boschi di latifoglie sempreverdi,Non classificato,Macchia alta
Piemonte,2.9,5.3,1.9,4.5,7.9,3.0,1.9,4.1,3.9,1.4,2.5,2.8,3.9,1.5,2.4,0,0,0,0.0,0.0
Valle d'Aosta,8.6,4.4,2.6,7.7,4.8,0,0,0,4.6,2.9,0,1.9,0,4.4,3.3,0,0,0,0.0,0.0
Lombardia,4.9,17.3,5.4,7.1,2.6,0,2.9,1.4,4.1,3.2,2.3,3.3,1.6,2.3,2.4,0,0,0.2,0.0,0.0
Alto Adige,8.9,10.9,6.6,5.5,3.5,0,3.0,0,8.3,4.2,0,4.3,4.3,3.1,3.6,0,0,0,0.0,0.0
Trentino,11.3,5.5,10.5,7.4,10.0,0,0,0,9.3,5.5,0,5.6,4.9,5.1,5.0,7.8,0,0,0.0,0.0
Trentino-Alto Adige,10.1,8.2,8.5,6.4,6.7,0.0,3.0,0.0,8.8,4.8,0.0,5.0,4.6,4.1,4.3,7.8,0.0,0.0,0.0,0.0
Veneto,5.0,6.5,6.1,10.5,4.1,7.2,0,0,4.0,3.4,2.3,2.3,4.0,2.3,3.2,5.7,0,0,0.0,0.0
Friuli Venezia Giulia,1.7,3.0,5.8,4.0,2.5,2.4,4.6,1.0,4.4,2.2,0,2.1,1.3,1.9,1.1,0,0,0,0.0,0.0
Liguria,4.9,1.7,4.7,3.0,6.2,4.0,5.3,0,4.2,2.7,3.8,2.2,3.6,1.7,4.0,5.2,0,0,0.0,0.0
Emilia-Romagna,0,1.7,2.9,2.8,7.1,5.5,4.8,0.6,3.7,2.7,2.7,2.1,2.5,2.7,1.7,2.6,0,0,0.0,0.0
Toscana,0,2.5,5.6,7.3,5.1,2.9,2.1,1.3,4.2,2.2,2.3,3.2,1.1,2.0,2.3,2.9,1.9,3.7,0.0,0.0
Umbria,0,0,0,5.6,3.0,5.5,5.2,0,5.2,2.0,3.3,3.0,1.0,1.4,2.2,2.6,0,0,0.0,0.0
Marche,0,0.0,0,0,3.3,2.9,1.7,0,4.8,1.8,2.1,1.7,0.8,0.9,1.6,4.4,0,0,0.0,0.0
Lazio,0,2.1,0,0,4.9,5.7,2.1,0,4.7,1.5,1.8,2.0,2.2,1.0,0.9,2.0,3.0,3.8,0.0,0.0
Abruzzo,0,2.6,1.8,5.0,0.7,2.3,1.5,0,4.4,0.8,3.5,1.3,0.9,2.6,1.9,1.7,0,0,0.0,0.0
Molise,0,0,2.3,0,4.5,2.3,0,0,3.4,1.5,2.0,1.0,1.6,2.2,2.3,2.9,0,0,0.0,0.0
Campania,0,0,0,0,3.1,3.7,1.1,0,5.3,1.4,1.2,1.1,1.1,3.3,1.2,2.2,2.4,0.2,0.0,0.0
Puglia,0,0,0,0,2.5,1.3,2.4,1.9,2.3,1.0,1.1,1.9,1.1,4.2,1.3,0.4,0,0.3,0.0,0.0
Basilicata,0,0,3.0,0,2.5,2.2,1.9,1.7,3.0,1.2,1.3,2.3,2.5,2.7,2.7,3.0,0,0.5,0.0,0.0
Calabria,0,0,3.8,0,4.0,1.3,0.9,3.4,4.4,1.5,1.8,1.8,0.6,2.0,1.2,5.2,2.1,1.4,0.0,0.0
Sicilia,0,0,0,0,5.0,2.0,0.9,0,2.1,2.1,1.1,3.9,1.4,1.4,1.3,0.8,0.5,1.2,0.0,0.0
Sardegna,0,0,0,0,1.0,1.2,4.7,0.9,0,2.0,0,2.8,0,2.5,1.2,2.4,1.3,0.9,0.0,0.0
Italia,6.8,8.8,5.6,6.1,3.9,2.5,2.5,1.7,4.5,1.9,2.1,2.5,2.1,2.1,2.1,2.7,1.3,1.2,0.0,0.0
